CORRECTO: ANALISIS LEXICO
| CLASS | class | LINEA 1 (COLUMNA 5) |
| IDCLASS | Fibonacci | LINEA 1 (COLUMNA 15) |
| LEFT_BRACE | { | LINEA 1 (COLUMNA 16) |
| PUB | pub | LINEA 2 (COLUMNA 4) |
| INT | Int | LINEA 2 (COLUMNA 8) |
| IDOBJETS | suma | LINEA 2 (COLUMNA 13) |
| SEMICOLON | ; | LINEA 2 (COLUMNA 14) |
| PUB | pub | LINEA 3 (COLUMNA 4) |
| INT | Int | LINEA 3 (COLUMNA 8) |
| IDOBJETS | i | LINEA 3 (COLUMNA 10) |
| COMMA | , | LINEA 3 (COLUMNA 11) |
| IDOBJETS | j | LINEA 3 (COLUMNA 12) |
| SEMICOLON | ; | LINEA 3 (COLUMNA 13) |
| RIGHT_BRACE | } | LINEA 4 (COLUMNA 2) |
| IMPL | impl | LINEA 5 (COLUMNA 5) |
| IDCLASS | Fibonacci | LINEA 5 (COLUMNA 15) |
| LEFT_BRACE | { | LINEA 5 (COLUMNA 17) |
| FN | fn | LINEA 6 (COLUMNA 3) |
| INT | Int | LINEA 6 (COLUMNA 7) |
| IDOBJETS | sucesion_fib | LINEA 6 (COLUMNA 20) |
| LEFT_PAREN | ( | LINEA 6 (COLUMNA 22) |
| INT | Int | LINEA 6 (COLUMNA 26) |
| IDOBJETS | n | LINEA 6 (COLUMNA 28) |
| RIGHT_PAREN | ) | LINEA 6 (COLUMNA 30) |
| LEFT_BRACE | { | LINEA 6 (COLUMNA 31) |
| IDOBJETS | i | LINEA 7 (COLUMNA 2) |
| EQUAL | = | LINEA 7 (COLUMNA 3) |
| INTEGER_LITERAL | =0 | LINEA 7 (COLUMNA 4) |
| SEMICOLON | ; | LINEA 7 (COLUMNA 5) |
| IDOBJETS | j | LINEA 7 (COLUMNA 7) |
| EQUAL | = | LINEA 7 (COLUMNA 8) |
| INTEGER_LITERAL | =0 | LINEA 7 (COLUMNA 9) |
| SEMICOLON | ; | LINEA 7 (COLUMNA 10) |
| IDOBJETS | suma | LINEA 7 (COLUMNA 15) |
| EQUAL | = | LINEA 7 (COLUMNA 16) |
| INTEGER_LITERAL | =0 | LINEA 7 (COLUMNA 17) |
| SEMICOLON | ; | LINEA 7 (COLUMNA 18) |
| WHILE | while | LINEA 8 (COLUMNA 6) |
| LEFT_PAREN | ( | LINEA 8 (COLUMNA 8) |
| IDOBJETS | i | LINEA 8 (COLUMNA 9) |
| LESS_EQUAL | <= | LINEA 8 (COLUMNA 11) |
| IDOBJETS | n | LINEA 8 (COLUMNA 12) |
| RIGHT_PAREN | ) | LINEA 8 (COLUMNA 13) |
| LEFT_BRACE | { | LINEA 8 (COLUMNA 15) |
| IF | if | LINEA 9 (COLUMNA 3) |
| LEFT_PAREN | ( | LINEA 9 (COLUMNA 4) |
| IDOBJETS | i | LINEA 9 (COLUMNA 5) |
| EQUAL_EQUAL | == | LINEA 9 (COLUMNA 7) |
| INTEGER_LITERAL | ==0 | LINEA 9 (COLUMNA 8) |
| RIGHT_PAREN | ) | LINEA 9 (COLUMNA 9) |
| LEFT_BRACE | { | LINEA 9 (COLUMNA 10) |
| LEFT_PAREN | ( | LINEA 10 (COLUMNA 5) |
| IDOBJETS | imprimo_numero | LINEA 10 (COLUMNA 19) |
| LEFT_PAREN | ( | LINEA 10 (COLUMNA 20) |
| IDOBJETS | i | LINEA 10 (COLUMNA 21) |
| RIGHT_PAREN | ) | LINEA 10 (COLUMNA 22) |
| RIGHT_PAREN | ) | LINEA 10 (COLUMNA 23) |
| SEMICOLON | ; | LINEA 10 (COLUMNA 24) |
| LEFT_PAREN | ( | LINEA 11 (COLUMNA 5) |
| IDOBJETS | imprimo_sucesion | LINEA 11 (COLUMNA 21) |
| LEFT_PAREN | ( | LINEA 11 (COLUMNA 22) |
| IDOBJETS | suma | LINEA 11 (COLUMNA 26) |
| RIGHT_PAREN | ) | LINEA 11 (COLUMNA 27) |
| RIGHT_PAREN | ) | LINEA 11 (COLUMNA 28) |
| SEMICOLON | ; | LINEA 11 (COLUMNA 29) |
| RIGHT_BRACE | } | LINEA 11 (COLUMNA 30) |
| ELSE | else | LINEA 12 (COLUMNA 5) |
| IF | if | LINEA 13 (COLUMNA 6) |
